StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,prolific_id,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q14,Q14_DO,Q15,desktop,desktop_DO,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,beatles,beatles_DO,se.beatles,se.beatles_DO,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,alcapone,se.alcapone,se.alcapone_DO,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,vangogh,vangogh_DO,se.vangogh,se.vangogh_DO,natalia,natalia_DO,Q58,Q58_DO,spain,spain_DO,Q60,Q60_DO,Q60_1,Q60_2,Q60_3,Q60_5,Q60_DO,Q58,Q58_DO,Q32,Q33,Q34,Q34_DO,Q35,Q35_DO,Q36,Q36_DO,Q37,Q38,FL_90_DO,FL_12_DO,Google_default_DO
2023-07-13 18:54:01,2023-07-13 18:57:45,0,50.30.177.24,100,223,1,2023-07-13 18:57:46,R_1lryGm8hsAOG4BD,,,,,30.4566,-84.3223,anonymous,EN,1,1,61008462e0ead7f43d1c5c1e,,,,,5,5|2|3|1|4,7,2,1|2,13.565,15.834,18.106,2,4,5|7|1|6|3|4|2,1,3|2|5|1|4,4.372,23.044,24.041,5,2,1,5|1|3|2|4,2.173,14.795,15.773,5,23,20|23|21|19|18|17|22,1,3|5|2|4|1,3,5|4|2|1|3,1,3|2|5|4|1,3,3|4|2|5|1,1,4|3|1|5|2,4.87,2.57,4.03,3.53,2|1|5|3,"1,2",6|1|3|4|5|2,1997,5,5,4|2|5|1|3,3,1|4|3|2,7,1|7|3|5|4|6|2,5,I usually stick to Google and once in a while use DuckDuckGo,No_video,Google_default,google_default
2023-07-13 18:52:41,2023-07-13 18:58:05,0,206.21.45.105,100,323,1,2023-07-13 18:58:06,R_1CBVYQ3K2K2Y4Fw,,,,,41.0782,-81.5223,anonymous,EN,1,1,61213c306db0c995df67988e,,,,,5,3|4|2|1|5,7,2,1|2,18.087,20.031,28.974,2,4,6|4|2|7|5|1|3,1,3|5|2|1|4,5.487,25.719,28.603,6,2,1,5|4|1|2|3,3.277,23.168,24.221,7,23,17|23|20|19|21|22|18,1,4|5|1|2|3,3,4|1|3|5|2,1,3|2|1|4|5,3,3|2|4|1|5,1,5|2|4|3|1,4.93,2.93,3.9,2.93,5|2|1|3,1,2|4|6|5|3|1,2001,3,3,1|4|2|3|5,2,1|4|2|3,1,2|3|7|6|5|4|1,5,If Google is not the default search engine I will set it as the default,Video,Bing_default,
2023-07-13 18:44:57,2023-07-13 18:58:11,0,209.30.116.152,100,794,1,2023-07-13 18:58:12,R_1FlgYN2T55qwVim,,,,,36.1052,-86.6591,anonymous,EN,1,1,5c926d2a0ae1ea00156f71a0,,,,,5,5|4|3|1|2,7,2,2|1,19.257,22.913,25.435,2,4,7|1|3|6|2|4|5,1,4|1|5|3|2,242.185,245.626,252.822,2,1,1,5|3|1|2|4,29.933,33.467,35.537,2,23,23|19|17|22|18|20|21,1,1|5|4|3|2,3,1|3|4|2|5,1,1|2|4|3|5,3,5|4|3|1|2,1,1|2|5|3|4,4.63,2,3.73,3.57,1|5|3|2,"1,5",1|6|4|2|5|3,1959,4,3,3|2|5|4|1,2,2|1|4|3,1,5|4|2|7|3|1|6,5,I stayed on Google because they get the best results as a rule.,No_video,Google_default,google_default
2023-07-13 18:46:58,2023-07-13 18:58:29,0,74.136.36.181,100,690,1,2023-07-13 18:58:30,R_3dFUBP86NE2rdb3,,,,,38.0052,-84.423,anonymous,EN,1,1,5f97d19f018e77000cc67d21,,,,,5,4|3|1|5|2,7,2,2|1,8.133,37.917,41.446,4,4,4|5|2|7|6|3|1,2,1|2|4|3|5,12.792,146.072,149.897,4,2,"1,2",2|1|3|5|4,6.868,46.984,51.245,3,23,21|18|19|23|22|17|20,1,4|2|1|3|5,3,2|5|1|4|3,1,2|5|3|1|4,3,2|1|3|4|5,1,5|3|4|1|2,4.1,2.9,3.2,2.53,1|3|2|5,"1,3,5",4|2|6|5|3|1,1975,4,2,1|4|3|5|2,1,1|2|3|4,6,3|1|7|2|4|6|5,5,"I would have continued to use bing, but it didn't load when I tried it for the second question.  So, I abandoned it in favor of google.  ",No_video,Bing_default,
2023-07-13 18:50:02,2023-07-13 18:59:07,0,73.41.212.11,100,545,1,2023-07-13 18:59:08,R_XA4LGAkIrm7HEs1,,,,,38.768,-121.3349,anonymous,EN,0.8999999761581421,1,5b07b71c68eff50001d1c859,,,,,5,5|4|2|3|1,7,2,2|1,247.02,252.088,253.468,2,4,6|7|1|2|3|5|4,2,1|5|3|2|4,4.727,20.224,21.474,3,2,2,1|4|3|2|5,3.194,53.004,53.879,3,17,23|22|20|19|17|21|18,2,4|5|1|3|2,3,1|2|5|4|3,2,3|5|2|1|4,3,5|3|1|4|2,2,3|5|4|2|1,4.53,4.33,3.47,3.43,1|2|3|5,"1,3",3|1|6|5|2|4,1991,4,4,5|4|1|2|3,1,2|4|3|1,4,5|7|2|4|6|3|1,5,,Video,Bing_default,
2023-07-13 18:45:49,2023-07-13 18:59:15,0,172.56.113.44,100,805,1,2023-07-13 18:59:15,R_12bWFbliomXgSlb,,,,,41.815,-71.3663,anonymous,EN,1,1,5c55b95b91c0ad0001cf86ab,,,,,5,4|1|2|5|3,7,2,2|1,5.567,31.559,40.787,3,4,7|6|4|2|5|3|1,2,3|2|4|5|1,14.355,226.595,280.126,3,2,2,4|3|2|5|1,7.032,76.392,79.244,3,17,18|20|22|23|19|21|17,2,1|4|2|3|5,3,2|4|1|3|5,2,3|1|2|4|5,3,2|5|3|1|4,2,5|2|3|1|4,4.35,3.88,3.52,1.78,5|3|1|2,"1,2,3",3|1|5|6|2|4,1975,5,5,1|4|3|2|5,1,4|2|1|3,1,4|3|5|7|6|2|1,5,,No_video,Bing_default,
2023-07-13 18:48:41,2023-07-13 18:59:20,0,108.35.34.115,100,638,1,2023-07-13 18:59:20,R_2abpDuYvEd59smE,,,,,40.9953,-73.9503,anonymous,EN,1,1,6100b6365a3b961d941f7071,,,,,5,3|2|4|5|1,7,2,2|1,20.787,22.248,49.294,2,4,6|2|1|7|5|4|3,2,5|1|3|4|2,33.506,182.814,183.607,8,1,"1,2",1|3|4|2|5,71.944,73.164,74.042,2,17,22|20|19|17|23|21|18,2,3|2|1|5|4,3,2|1|3|4|5,2,1|3|4|5|2,3,1|2|5|3|4,2,4|3|1|2|5,4.5,3,2,1.5,3|5|1|2,"1,3",1|3|4|5|6|2,1999,4,4,3|2|4|5|1,2,1|3|4|2,1,7|5|4|1|2|6|3,5,I feel like I definitely supported the hypothesis that someone would stick with one by default since I used Bing even though I found it somewhat annoying and always use Google.,Video,Bing_default,
2023-07-13 18:37:02,2023-07-13 18:59:44,0,73.129.66.113,100,1362,1,2023-07-13 18:59:45,R_2TTwbtuJrj5ncNk,,,,,38.894,-77.0365,anonymous,EN,0.8999999761581421,1,5ba5d8b960f3d50001697104,,,,,5,1|5|3|4|2,7,2,1|2,2.454,115.335,121.544,7,4,6|5|4|7|1|2|3,2,2|1|5|4|3,4.474,272.801,273.364,7,1,1,4|2|5|1|3,6.037,101.392,102.938,10,23,23|21|20|19|18|22|17,1,2|1|3|4|5,3,4|5|1|2|3,1,4|5|2|1|3,3,4|2|1|3|5,1,1|3|2|5|4,5,5,5,5,5|2|3|1,"1,2,3",1|6|4|5|3|2,1959,3,5,1|4|3|2|5,2,2|1|4|3,1,6|2|4|3|7|1|5,5,"I rarely use Bing, mostly Google or DuckDuckGo. I did use Bing for the first search though, which confirmed what I already thought was the shortest Beatles song. (Also knew the St. Augustine answer.) I decided to switch to Google simply because is what I typically use.",No_video,Bing_default,
2023-07-13 18:51:01,2023-07-13 19:00:08,0,75.35.212.92,100,546,1,2023-07-13 19:00:09,R_1mKm3xgsF2dcLCO,,,,,32.9636,-96.7468,anonymous,EN,1,1,6486327282b82fce27a06a5d,,,,,5,2|3|1|5|4,7,2,1|2,19.986,24.151,24.88,4,4,2|3|4|6|5|1|7,2,4|3|2|5|1,52.393,56.965,57.596,5,2,2,4|1|5|3|2,39.583,76.835,77.48,6,23,23|22|18|17|20|19|21,2,4|5|2|3|1,3,3|5|2|1|4,2,1|2|4|3|5,3,5|1|3|2|4,2,3|2|4|1|5,4.8,4.43,2.57,3.6,5|3|1|2,"1,3",2|1|4|3|6|5,1969,3,1,2|1|5|4|3,2,3|4|1|2,3,5|7|3|2|4|1|6,5,I did!,Video,Bing_default,
2023-07-13 18:55:28,2023-07-13 19:00:31,0,174.160.99.30,100,303,1,2023-07-13 19:00:32,R_1hYeiucMJOtYBPf,,,,,37.7124,-122.0399,anonymous,EN,1,1,5e46f490a5748507c57e3c5f,,,,,5,3|5|1|4|2,7,2,1|2,3.79,27.894,30.104,3,4,5|7|4|1|3|6|2,1,2|4|1|3|5,6.68,34.288,35.376,3,2,1,2|5|3|1|4,2.319,14.774,16.322,4,23,21|17|18|19|23|22|20,1,3|1|5|2|4,3,2|5|1|4|3,2,2|5|3|1|4,3,1|3|5|4|2,1,1|2|5|3|4,3.7,3.43,3.4,1.4,5|2|3|1,3,1|3|6|2|5|4,1980,4,3,5|3|4|2|1,1,2|4|3|1,4,4|1|6|5|3|7|2,5,I have no preference when it comes to the search engine,No_video,Google_default,google_default
2023-07-13 18:59:36,2023-07-13 19:02:04,0,24.0.104.66,100,148,1,2023-07-13 19:02:04,R_3KPVhOQ3h12cDpc,,,,,39.9242,-75.0193,anonymous,EN,0.8999999761581421,1,56157e827ffc8a0005812ae9,,,,,5,1|3|2|5|4,7,2,2|1,2.483,9.123,11.123,3,4,2|1|3|4|7|5|6,1,5|4|2|1|3,2.196,11.279,12.062,3,2,1,5|4|1|2|3,1.699,16.817,17.53,7,23,20|23|21|18|19|22|17,1,4|5|3|1|2,3,2|3|5|4|1,1,4|3|2|1|5,3,1|3|2|4|5,1,4|5|1|3|2,5,4,3,1,5|1|2|3,"1,3",5|2|1|4|6|3,1981,4,5,5|1|4|3|2,1,3|1|4|2,1,1|7|5|3|2|6|4,5,,No_video,Google_default,google_default
2023-07-13 18:52:40,2023-07-13 19:02:42,0,207.237.33.186,100,601,1,2023-07-13 19:02:42,R_233MbW7gHahzire,,,,,40.726,-73.848,anonymous,EN,1,1,60bac4eb11e08e852fd030ab,,,,,5,3|1|4|2|5,7,2,2|1,23.961,29.804,36.511,2,4,7|2|1|5|3|4|6,2,3|4|1|5|2,6.719,60.888,62.164,3,2,2,4|5|2|1|3,184.5,186.988,188.224,2,17,18|17|19|21|23|20|22,2,3|4|2|5|1,3,5|3|1|2|4,2,2|4|5|1|3,3,5|2|4|1|3,2,2|4|5|1|3,4.6,4.67,4.27,3.5,2|5|1|3,"1,3",5|2|1|4|3|6,1955,5,4,4|5|2|1|3,2,4|3|2|1,1,3|2|4|5|6|7|1,5,"Bing was actually better than I expected. ",No_video,Bing_default,
2023-07-13 18:55:06,2023-07-13 19:02:44,0,35.145.31.149,100,458,1,2023-07-13 19:02:45,R_27xtm1bErDP7p23,,,,,28.9453,-81.2989,anonymous,EN,1,1,5f08891e392f740a659bbc7d,,,,,5,5|3|1|2|4,7,2,2|1,13.479,16.938,18.246,3,4,4|6|3|7|1|5|2,1,1|3|5|2|4,59.19,63.479,64.454,3,1,1,3|5|4|1|2,28.614,32.125,33.395,3,17,23|19|18|22|17|20|21,1,3|1|2|5|4,3,4|3|5|1|2,1,1|4|3|2|5,3,4|3|5|2|1,1,1|3|5|2|4,3.7,1.17,1.37,2.5,2|3|1|5,1,4|6|2|5|1|3,1983,4,1,3|5|2|1|4,1,3|2|1|4,1,1|3|4|6|2|5|7,5,"Google is the best even though it steals and sells all your information ",Video,Google_default,google_default
2023-07-13 18:55:41,2023-07-13 19:03:11,0,70.105.171.183,100,450,1,2023-07-13 19:03:12,R_d5nLG5L6Ig527tv,,,,,40.793,-74.0247,anonymous,EN,1,1,6107eea10c878cfd936ad454,,,,,5,5|3|1|4|2,7,2,1|2,11.953,14.26,16.402,2,4,3|2|4|1|6|7|5,2,1|2|5|4|3,43.34,46.923,48.256,2,7,2,2|4|5|3|1,70.612,73.528,74.99,3,17,22|20|23|19|21|18|17,2,5|4|3|1|2,3,2|5|1|4|3,2,2|1|4|3|5,3,5|4|2|3|1,2,5|4|1|2|3,4.43,4.47,3.57,2.73,5|1|2|3,"1,3",4|2|1|5|3|6,1999,4,2,2|4|1|3|5,2,4|1|3|2,1,6|5|2|1|7|4|3,5,,No_video,Bing_default,
2023-07-13 18:53:06,2023-07-13 19:03:40,0,108.49.31.49,100,633,1,2023-07-13 19:03:40,R_3MxjlDovs9gFgtr,,,,,42.5639,-70.9463,anonymous,EN,0.8999999761581421,1,6108bae61196a3bd6fc3a24b,,,,,5,2|4|5|1|3,7,2,1|2,30.042,34.455,36.852,3,4,6|2|4|7|1|5|3,1,5|3|1|2|4,14.773,218.102,218.926,7,1,1,5|4|2|1|3,2.836,107.324,108.098,6,23,22|20|17|19|18|23|21,1,4|1|5|2|3,3,3|1|4|2|5,1,4|2|3|1|5,3,2|1|5|4|3,1,2|5|3|1|4,4.5,2,4,3,3|1|5|2,1,5|1|3|2|4|6,1994,5,1,4|2|3|1|5,2,1|2|3|4,1,2|7|5|4|1|3|6,5,,Video,Google_default,google_default
2023-07-13 18:53:43,2023-07-13 19:03:43,0,98.55.33.128,100,599,1,2023-07-13 19:03:43,R_beVSWSetRbAXnKV,,,,,39.7628,-105.0263,anonymous,EN,1,1,5a7618b18fe2dc0001057243,,,,,5,2|5|3|4|1,7,2,1|2,22.573,25.589,27.853,2,4,7|4|2|1|3|5|6,2,2|5|3|4|1,41.177,45.824,47.681,2,1,2,3|4|2|5|1,98.559,101.984,104.098,2,23,17|20|21|19|22|23|18,2,4|2|3|1|5,3,4|5|2|3|1,2,3|2|1|5|4,3,3|1|4|2|5,2,1|4|2|5|3,4.8,3.54,2.44,2.64,5|1|2|3,"1,3",4|2|5|6|3|1,1981,4,4,5|3|4|2|1,2,4|1|3|2,1,7|2|5|3|4|6|1,5,"I typically use Goggle because I am used to using Google, but I may start using Bing because Bing worked well in this study.",No_video,Bing_default,
2023-07-13 18:54:29,2023-07-13 19:03:50,0,208.104.102.197,100,561,1,2023-07-13 19:03:51,R_3iWjX5liOc3odth,,,,,35.0125,-80.9309,anonymous,EN,1,1,63d9c4ea4b5efb771f895e11,,,,,5,1|5|3|4|2,7,2,1|2,8.147,19.88,21.322,3,4,6|4|3|1|5|7|2,1,5|3|2|4|1,6.045,53.566,75.813,3,2,1,5|3|1|4|2,3.845,20.782,22.349,3,23,20|17|22|19|23|18|21,1,3|5|1|4|2,3,2|5|4|1|3,1,5|4|3|2|1,3,5|3|4|2|1,1,5|2|1|3|4,5,0,0,1,5|2|1|3,"1,5",4|3|2|6|5|1,1971,4,5,2|5|1|4|3,1,2|3|4|1,1,2|6|3|7|4|1|5,5,,Video,Bing_default,
2023-07-13 18:52:37,2023-07-13 19:04:07,0,50.43.44.79,100,690,1,2023-07-13 19:04:07,R_rf3tkmOg61yi0r7,,,,,45.5397,-122.9638,anonymous,EN,0.8999999761581421,1,63b6564d17f6597f31d9ad82,,,,,5,3|5|4|1|2,7,2,1|2,16.525,19.35,20.886,2,4,2|1|5|3|4|6|7,1,4|1|3|2|5,5.272,29.585,51.945,5,2,1,5|3|2|4|1,3.664,31.446,33.712,5,23,19|20|18|23|21|22|17,1,3|2|4|1|5,3,3|5|4|2|1,1,1|4|3|2|5,3,3|2|1|4|5,1,1|4|5|3|2,5,4,3,3,5|2|1|3,"1,3",1|3|6|2|5|4,1968,4,5,3|2|4|5|1,1,2|1|4|3,1,2|5|4|6|1|7|3,5,"Google is my default search engine so I am unsure what I would have done if you pointed me to a different one. ",Video,Google_default,google_default
2023-07-13 18:55:02,2023-07-13 19:04:59,0,67.162.192.6,100,596,1,2023-07-13 19:04:59,R_4O5cpOVGIxnhbDr,,,,,34.8108,-92.2249,anonymous,EN,1,1,57e7bb4e73e67300012b8e2a,,,,,5,1|2|4|3|5,7,2,1|2,17.051,19.154,26.547,2,4,5|7|2|3|6|1|4,1,5|1|3|4|2,4.928,33.529,35.992,6,2,1,2|5|4|3|1,4.185,22.561,24.561,4,23,20|21|19|18|17|23|22,1,4|5|2|1|3,3,3|2|4|1|5,1,2|5|4|3|1,3,3|1|2|5|4,1,5|2|1|4|3,4.78,3.78,1.48,3.78,3|1|5|2,"1,5",2|1|5|3|4|6,1968,3,3,1|3|5|2|4,2,3|2|4|1,1,6|7|1|4|3|2|5,5,"I was confused about whether to start the video and watch it or if I was supposed to play it while searching.  It seemed like you wanted us to watch while surfing, but that seemed difficult to do without another window open?  I watched the video then did the searches. ",Video,Google_default,google_default
2023-07-13 18:58:32,2023-07-13 19:05:07,0,50.159.135.21,100,394,1,2023-07-13 19:05:08,R_2QopXD2t7ZcrmjF,,,,,36.175,-115.1372,anonymous,EN,0.800000011920929,1,59dd8d01ae9f950001d83c4b,,,,,5,4|1|5|3|2,7,2,2|1,12.107,13.686,14.247,2,4,7|2|5|1|6|3|4,1,5|1|4|3|2,5.664,7.273,10.762,2,6,5,5|1|4|2|3,17.809,19.172,19.691,2,17,20|17|22|18|19|23|21,1,1|2|5|3|4,5,2|5|3|4|1,5,5|3|4|2|1,1,1|5|3|2|4,5,3|2|5|4|1,4.3,2.5,2.7,2.83,3|5|2|1,1,4|1|3|5|2|6,1996,4,5,1|3|5|2|4,1,3|1|4|2,4,5|7|6|2|1|4|3,5,,Video,Google_default,google_default
2023-07-13 18:56:39,2023-07-13 19:05:15,0,108.216.65.169,100,515,1,2023-07-13 19:05:15,R_vvIZUmt4CJLqqNX,,,,,34.6805,-82.8231,anonymous,EN,1,1,5df434425a34252fff491695,,,,,5,1|5|3|2|4,7,2,2|1,25.785,35.862,39.105,16,4,2|7|3|6|4|5|1,1,5|1|2|4|3,43.953,50.283,51.977,3,1,1,2|4|1|3|5,29.77,38.562,39.989,19,23,22|23|20|18|21|19|17,1,1|5|2|4|3,3,3|4|2|1|5,1,1|2|4|3|5,1,1|3|4|5|2,1,2|3|5|4|1,5,5,4,5,3|2|5|1,"1,3",1|6|2|5|3|4,1968,3,5,3|2|5|4|1,2,2|1|3|4,2,4|3|2|7|1|5|6,5,"As far as I know, Google has never failed me; it's just my go-to search engine.",No_video,Google_default,google_default
2023-07-13 18:58:09,2023-07-13 19:05:19,0,172.83.7.66,100,430,1,2023-07-13 19:05:20,R_3GxCDJNKX0OMDb5,,,,,40.8792,-111.8686,anonymous,EN,1,1,634f29a90d8ff679aa934ab1,,,,,5,3|4|2|5|1,7,2,1|2,18.418,21.026,23.261,2,4,1|7|2|3|5|4|6,2,5|3|2|1|4,5.139,60.02,61.273,4,1,2,2|1|3|5|4,4.42,78.063,79.225,5,23,20|22|21|18|19|17|23,"1,2",3|4|2|5|1,3,5|4|2|1|3,2,5|2|4|1|3,3,3|2|5|1|4,2,5|3|1|4|2,4,4,3,0,1|3|2|5,"1,2",6|5|2|1|4|3,1978,4,4,1|5|3|2|4,2,1|4|2|3,1,3|2|7|5|1|4|6,5,"The study reminded me that Bing existed, and it it isn't too bad.",No_video,Bing_default,
2023-07-13 18:55:13,2023-07-13 19:05:49,0,73.187.94.104,100,635,1,2023-07-13 19:05:50,R_2zNKLCtnrMbR3kb,,,,,40.0756,-76.6914,anonymous,EN,1,1,5c7307403065320001bdf00f,,,,,5,3|1|2|4|5,7,2,2|1,5.468,43.421,45.478,4,4,5|7|2|3|6|1|4,2,5|4|3|2|1,4.755,168.417,169.427,4,2,2,4|5|1|2|3,2.628,79.561,80.752,8,17,22|19|18|20|17|21|23,2,3|4|1|5|2,3,2|5|4|3|1,5,1|4|2|3|5,3,2|1|4|3|5,2,3|2|5|4|1,5,4.8,3.8,5,3|2|5|1,"1,3,5",5|6|1|2|4|3,1966,4,1,5|3|2|4|1,1,2|1|3|4,1,6|3|7|1|4|5|2,5,N/A,No_video,Bing_default,
2023-07-13 19:03:14,2023-07-13 19:05:49,0,96.249.154.38,100,155,1,2023-07-13 19:05:50,R_3qwYkmysk6QgYSH,,,,,40.3062,-76.8841,anonymous,EN,1,1,62a3be0d93b8dd1e69b4317d,,,,,5,1|3|2|5|4,7,2,1|2,1.842,12.247,12.861,10,4,2|4|6|7|1|5|3,1,4|5|2|1|3,1.402,15.017,15.912,6,2,1,1|5|4|2|3,0.87,9.97,11.553,6,23,23|21|20|18|17|19|22,1,4|5|1|3|2,3,5|1|3|2|4,1,2|5|4|1|3,3,5|1|3|2|4,1,3|2|1|5|4,4.83,2.23,1.57,2.47,2|5|3|1,1,3|4|2|1|6|5,1956,4,4,1|5|2|3|4,2,3|4|1|2,1,3|2|4|7|6|5|1,5,,No_video,Google_default,google_default
2023-07-13 18:57:19,2023-07-13 19:06:01,0,173.16.243.71,100,522,1,2023-07-13 19:06:02,R_2b3Oq9B11CqgHmn,,,,,41.1622,-85.4724,anonymous,EN,1,1,5cda0f40fbe78a00192192a3,,,,,5,2|4|5|1|3,7,2,1|2,38.859,41.837,44.284,2,4,2|4|1|7|5|6|3,2,2|4|1|5|3,7.268,57.232,60.007,3,1,2,5|3|2|4|1,10.522,96.705,99.728,4,23,20|23|17|19|18|22|21,2,1|5|2|4|3,3,1|2|4|3|5,2,4|3|5|1|2,3,2|5|1|3|4,2,3|4|2|1|5,4.82,4.49,3.45,3.49,1|2|3|5,1,2|4|3|6|5|1,1942,5,5,1|5|2|3|4,1,2|4|3|1,1,3|6|7|2|5|4|1,5,,No_video,Bing_default,
2023-07-13 18:59:28,2023-07-13 19:07:46,0,108.4.241.249,100,497,1,2023-07-13 19:07:46,R_poMW6ezia0ZyQed,,,,,39.9357,-75.1832,anonymous,EN,1,1,6110b67f3b6cabace267cdd8,,,,,5,2|5|3|1|4,7,2,2|1,16.748,25.797,33.424,2,4,6|4|2|3|1|7|5,1,1|2|4|5|3,15.359,61.493,63.368,5,2,1,5|2|1|3|4,7.798,50.982,51.473,4,17,22|18|17|23|19|21|20,1,2|4|1|5|3,3,5|1|3|4|2,1,1|5|2|3|4,3,5|4|1|3|2,1,4|3|1|5|2,4.48,2.35,0.95,2.35,3|1|5|2,1,6|5|1|3|4|2,1996,5,5,4|5|1|2|3,2,1|3|2|4,1,6|3|5|1|2|7|4,5,"i was assigned google by default and used google for everything, however, if it was assigned a search engine that wasn't google, i think i still would've switched to using google for everything",Video,Google_default,google_default
2023-07-13 18:58:52,2023-07-13 19:07:48,0,98.60.244.78,100,535,1,2023-07-13 19:07:48,R_3oG7yfdKs1vIHcz,,,,,35.0813,-106.6212,anonymous,EN,0.8999999761581421,1,640573118f53bf82f3204732,,,,,5,2|3|5|4|1,7,2,1|2,14.357,18.546,19.924,3,4,1|4|6|2|5|3|7,2,3|4|1|5|2,3.052,99.671,101.008,7,1,2,4|2|1|3|5,25.721,75.071,76.414,5,17,21|18|23|19|22|20|17,2,1|2|5|3|4,3,1|4|3|5|2,2,1|5|2|4|3,3,1|3|5|2|4,2,1|4|3|5|2,5.00,4.87,4.6,4.33,3|5|2|1,"1,2,3",5|2|4|6|3|1,1984,5,4,3|5|4|2|1,2,4|2|3|1,4,6|5|7|4|1|3|2,5,I usually prefer/stick to google search engine. But today I used Bing.,No_video,Bing_default,
2023-07-13 19:02:47,2023-07-13 19:08:01,0,166.198.28.6,100,314,1,2023-07-13 19:08:01,R_vUAqhxGiqQrXGsV,,,,,35.5689,-97.5255,anonymous,EN,1,1,610d9b503a4ae74e0624e644,,,,,5,5|2|1|3|4,7,2,1|2,13.16,16.84,25.223,2,4,7|6|4|1|3|2|5,2,5|2|1|4|3,29.733,31.742,33.031,2,1,2,2|5|4|1|3,3.591,38.85,40.255,5,17,23|19|22|17|21|20|18,2,1|2|5|4|3,3,4|3|5|2|1,2,2|5|4|3|1,3,1|3|5|2|4,2,2|4|3|5|1,4.37,3.6,1.9,0.47,1|3|5|2,1,2|5|6|3|1|4,1971,5,2,4|5|2|1|3,2,2|4|3|1,1,5|3|7|2|6|1|4,5,,Video,Bing_default,
2023-07-13 19:02:14,2023-07-13 19:08:04,0,136.35.141.219,100,349,1,2023-07-13 19:08:04,R_6hWO0Cz808ECGTT,,,,,39.1029,-94.5713,anonymous,EN,0.800000011920929,1,640156149b4e8ddb033f9b3b,,,,,5,2|5|1|4|3,7,2,1|2,9.796,12.932,15.232,4,4,6|3|4|7|1|5|2,1,1|4|5|3|2,66.602,69.233,77.512,4,7,1,3|4|1|2|5,16.19,20.543,22.096,4,23,21|23|17|18|22|20|19,1,2|4|1|3|5,3,2|4|3|5|1,1,1|3|4|5|2,3,5|2|4|1|3,1,2|5|4|1|3,5,0,0,0,3|1|5|2,1,6|2|1|4|5|3,1994,5,3,3|4|5|2|1,2,3|1|2|4,1,7|1|2|4|3|6|5,5,,No_video,Bing_default,
2023-07-13 18:57:06,2023-07-13 19:08:16,0,76.135.201.191,100,670,1,2023-07-13 19:08:17,R_33xa6r189Wcq3gh,,,,,48.8645,-122.5953,anonymous,EN,0.8999999761581421,1,6042794fe3c49714bee3e9cf,,,,,5,1|2|4|5|3,7,2,2|1,18.02,23.851,25.203,3,4,6|4|7|5|1|2|3,1,4|3|1|5|2,2.226,41.293,42.807,5,2,1,2|4|3|1|5,60.154,64.236,66.24,3,17,17|23|19|18|21|20|22,1,5|1|3|4|2,3,3|2|5|4|1,1,2|5|1|3|4,3,2|5|1|4|3,5,5|1|2|4|3,3.53,2.83,2.9,2.9,2|5|3|1,1,4|2|1|6|5|3,1951,4,2,3|2|4|1|5,2,2|4|1|3,1,1|2|4|7|5|6|3,5,I stick with google,Video,Google_default,google_default
2023-07-13 19:04:25,2023-07-13 19:08:20,0,76.105.152.200,100,235,1,2023-07-13 19:08:21,R_wUcafUoDPEmcpk5,,,,,45.3378,-122.5724,anonymous,EN,0.8999999761581421,1,5d100e740277ff00152f7562,,,,,5,3|2|1|5|4,7,2,2|1,5.838,17.43,18.268,4,4,2|3|1|4|5|7|6,1,5|2|4|3|1,2.672,18.774,19.468,4,2,1,5|1|4|2|3,7.008,22.435,23.29,7,23,22|23|21|19|20|18|17,1,4|5|3|2|1,3,1|2|4|5|3,1,4|3|5|1|2,3,4|2|1|3|5,1,1|4|3|2|5,2.9,2.4,0.7,1,2|5|1|3,"1,6",1|6|2|5|4|3,1976,3,3,4|1|2|5|3,2,4|1|3|2,1,6|1|4|7|2|3|5,5,"I'm sure everyone just did exactly what the survey requested us to do. ",No_video,Google_default,google_default
2023-07-13 18:58:38,2023-07-13 19:08:26,0,24.204.176.168,100,588,1,2023-07-13 19:08:26,R_1kNqp7cEu5nRvFK,,,,,42.9698,-85.9212,anonymous,EN,1,1,628494ff07588fd08c37117b,,,,,5,5|1|3|4|2,7,2,2|1,13.501,16.746,17.91,2,4,5|1|4|7|2|3|6,1,5|4|1|3|2,30.732,39.303,40.959,2,2,1,5|4|2|1|3,27.24,29.037,30.155,2,23,23|18|20|21|19|17|22,1,3|5|2|1|4,3,3|2|1|4|5,1,1|2|3|4|5,3,2|3|4|5|1,1,4|1|2|5|3,5,3.5,4,4,2|3|5|1,1,5|2|6|4|3|1,1992,2,1,3|5|1|4|2,2,1|2|3|4,1,7|3|2|5|6|4|1,5,,Video,Google_default,google_default
